"DISPOSITION_TYPE","PRIMARY_CRIME_CODE","JURISDICTION","COUNTRY","NAICS","FINANCIAL_INSTITUTION","US_PUBLIC_CO","DATE","TOTAL_PAYMENT","ADDITIONAL_REGULATORY_FINE_OR_PAYMENT","COMMUNITY_SERVICE_OR_OTHER","FINE","FORFEITURE_DISGORGEMENT","RESTITUTION","PROBATION_LENGTH"
"NP","Fraud - Securities","USDOJ","United States of America","523110","False","False","1992-05-01","0","0","0","0","0","0","0"
"NP","Fraud - General","USDOJ","United States of America","424690","False","False","1993-06-01","0","0","0","0","0","0","0"
"NP","Fraud - General","Massachusetts","United States of America","524114","False","False","1993-08-01","0","0","0","0","0","0","0"
"DP","Import / Export","California - Central District","United States of America","339113","False","False","1993-12-01","0","0","0","0","0","0","0"
"NP","Other","Massachusetts","United States of America","524113","False","False","1994-03-01","0","0","0","0","0","0","0"
"DP","Fraud - Securities","New York - Southern District","United States of America","524113","False","False","1994-10-01","0","0","0","0","0","0","0"
"plea","Antitrust","USDOJ - Antitrust Division","United States of America","423510","False","False","1995-05-01","0","0","0","0","0","0","0"
"plea","Antitrust","USDOJ - Antitrust Division","United States of America","423510","False","False","1995-05-01","0","0","0","0","0","0","0"
"DP","Fraud - General","Connecticut","United States of America","541200","False","False","1996-04-01","0","0","0","0","0","0","0"
"NP","Other","USDOJ","United States of America","541219","False","False","1996-09-01","0","0","0","0","0","0","0"
"NP","Fraud - Securities","Massachusetts","United States of America","523110","False","False","1996-10-01","0","0","0","0","0","0","0"
"DP","Environmental","Alaska,USDOJ - Environment & Natural Resources Division - Environmental Crimes Section","United States of America","213111","False","False","1998-04-01","0","0","0","0","0","0","0"
"DP","Immigration","Kentucky - Western District","United States of America","115210","False","False","1998-04-16","223000","0","0","223000","0","0","0"
"NP","False Statements","California - Central District","France","522110","True","False","1999-06-01","0","0","0","0","0","0","0"
"acq","Antitrust","USDOJ","Japan","322130","False","False","1999-07-16","0","0","0","0","0","0","0"
"plea","Fraud - General","Missouri - Eastern District","United States of America","999999","False","False","2000-01-28","2250000","0","0","0","0","2250000","60"
"plea","Other","New York - Northern District","United States of America","312140","False","False","2000-01-28","100000","0","0","100000","0","0","0"
"plea","Environmental","USDOJ - Environment & Natural Resources Division","United States of America","237210","False","False","2000-01-28","0","0","0","0","0","0","0"
"NP",,"Arkansas - Eastern District","United States of America","424470","False","False","2000-02-01","0","0","0","0","0","0","0"
"NP","Fraud - Securities","California - Central District","United States of America","523120","False","False","2000-02-01","0","0","0","0","0","0","0"
"plea","Kickbacks","Massachusetts","United States of America","621610","False","False","2000-02-02","0","0","0","0","0","0","0"
